date,item,sku,price
2018-03-27,wire ferrules white 0.75×8mm 100-pack,Conrad 1091304,EUR 1.29
2018-03-27,8× screw terminals 3-pin green 5.08mm grid,Conrad 731994,EUR 5.68
2018-03-27,stranded wire 0.75mm² 10m black,Conrad 1570578,EUR 5.89
2018-04-20,Huawei MediaPad M5 grey 32GB/4GB,Media Markt 2395514,EUR 349.00
